ID,B1,B2,B3,B4,B5,B6,B7,NDWI,NDVI,MNDWI,NDBI,elevation,LULC
1618_0,395,602,718.5,2489,2389,2929,1345,0.020500205,0.551987529,-0.597459044,-0.020500205,1474,4
1623_0,812,1106.5,1416,2787.5,3416,3010,2622.5,-0.101313774,0.326275723,-0.510668878,0.101313774,172,4
1627_0,569,880,1079.5,2538,2518,3039,1833,0.003955696,0.403178991,-0.482048264,-0.003955696,711,4
1628_0,1042,1335,1458,2485,2815.5,2977.5,2228.5,-0.062352608,0.260461577,-0.356704012,0.062352608,117,4
1629_0,783,1042,1473,2819,3511,2960,2671,-0.109320695,0.31360671,-0.542279816,0.109320695,1617,4
1630_0,893,1095,1178,2310,2888,2892,2044,-0.111196614,0.324541284,-0.450163194,0.111196614,455,4
1644_0,630.5,938,1209.5,3006,2955.5,2975,2104.5,0.008471022,0.426165342,-0.518171311,-0.008471022,1711,4
1647_0,1038.5,1191,1190.5,2218.5,2238,2957.5,1494,-0.004375631,0.301554708,-0.305336833,0.004375631,109,4
1651_0,375,453.5,475.5,1557,1348,2913,748,0.071944923,0.532103321,-0.496530669,-0.071944923,2567,4
1657_0,616,629,567,1942,1471,2970,790,0.138001758,0.548027102,-0.400952381,-0.138001758,146,4
1658_0,541.5,749,805.5,2551.5,2328.5,2921,1404.5,0.045696721,0.520107239,-0.513241267,-0.045696721,935,4
1666_0,607.5,723,829,1942.5,2030.5,2894,1355.5,-0.022149509,0.401767996,-0.474850191,0.022149509,595,4
1669_0,634,775,984,2061,2493,2918,1705,-0.09486166,0.353694581,-0.525703794,0.09486166,1243,4
1671_0,364.5,566,662.5,1884,1977,2918,1253,-0.024087024,0.479677989,-0.554856469,0.024087024,2813,4
1672_0,658,927,951,2464,2283,2970,1530,0.038129345,0.443045388,-0.422429907,-0.038129345,226,4
1679_0,517,679,668,2581,2059,2913,1075,0.1125,0.588796553,-0.504017531,-0.1125,946,4
1681_0,830,1062,1082.5,2474.5,1916,2972.5,1340,0.127206469,0.391341018,-0.286769644,-0.127206469,97,4
1682_0,903,1150.5,1256.5,2318.5,2569.5,2975,2038.5,-0.051350245,0.297062937,-0.381451613,0.051350245,99,4
1691_0,678,870.5,862,2270,2388.5,2934,1591.5,-0.025437373,0.449553001,-0.465787051,0.025437373,1088,4
1696_0,800.5,1154.5,1514.5,2598.5,3017.5,3088,2250.5,-0.074608262,0.263554583,-0.446548418,0.074608262,1806,4
1698_0,1070,1159,1190,2365,2112,2918,1285,0.056511057,0.330520394,-0.291348212,-0.056511057,80,4
1701_0,523,736,967,1886,2361,2950,1687,-0.111843654,0.32211707,-0.524701324,0.111843654,467,4
1702_0,745,1099,1442,2736,3376,2965,2282,-0.104712042,0.309717568,-0.508826816,0.104712042,2239,4
1705_0,1170,1466.5,1775.5,2455.5,3280.5,2977.5,2741.5,-0.143828452,0.160718506,-0.382136086,0.143828452,92,4
1711_0,933,1208,1343,2127,2244,2970,1428,-0.02676733,0.225936599,-0.300115875,0.02676733,167,4
1715_0,727.5,901,1018,2012,2676,3007.5,2012.5,-0.141638225,0.328052805,-0.496225888,0.141638225,187,4
1725_0,410,546,629,1580,1404,2881,807,0.058981233,0.430511544,-0.44,-0.058981233,1584,4
1727_0,994,1158,1175.5,2396,2253,2954.5,1655,0.030759303,0.341733165,-0.321020229,-0.030759303,70,4
1728_0,340.5,546.5,524,2312.5,1775.5,2902,1035,0.131360078,0.630530583,-0.529285099,-0.131360078,1255,4
1729_0,813,1118,1320,2528,2267,2934,1542,0.0544317,0.313929314,-0.3394387,-0.0544317,174,4
1730_0,348.5,475,579.5,1655,2240.5,2891.5,1413.5,-0.15030163,0.481315731,-0.650156509,0.15030163,1847,4
1733_0,974,1321,1653,2567,3107,3104,2340,-0.095170955,0.216587678,-0.403342367,0.095170955,87,4
1735_0,717.5,930,959,2493.5,2029,2952.5,1230.5,0.102708679,0.444460536,-0.37140926,-0.102708679,104,4
1738_0,752,927,1184,2565,2660,2960,1937,-0.018181818,0.368364897,-0.483133538,0.018181818,91,4
1744_0,852,1231,1385.5,2248,2697,3005,2147.5,-0.090798787,0.237374432,-0.373217923,0.090798787,192,4
1748_0,552,833,952,2426,2779,2955,1872,-0.067819404,0.436352872,-0.53875969,0.067819404,1448,4
1751_0,624,754,734,2069,2138,2965,1412,-0.016401236,0.476275419,-0.478561549,0.016401236,132,4
1752_0,976,1126,1147,2375,2104,2970,1347,0.060504577,0.348665531,-0.302786378,-0.060504577,85,4
1758_0,834,1071,1334,2456,3039,3010,2359,-0.106096451,0.296042216,-0.478832117,0.106096451,803,4
1762_0,590,784,870,2685,2535,2886,1549,0.028735632,0.510548523,-0.527568545,-0.028735632,866,4
