LULC,NDWI,NDVI,B1,B2,B3,B4,B5,B6,MNDWI,B7,NDBI,system:index
6,-0.018887541154046093,0.0992040380508639,987.5,1115.5,1160.0,1415.5,1470.0,2955.0,-0.13711081028814542,1219.5,0.018887541154046093,81_0
1,0.29791271347248577,0.7065868263473054,217.0,305.0,294.0,1710.0,925.0,2801.0,-0.5040650406504065,438.0,-0.29791271347248577,82_0
3,0.16030680728667307,0.6607657472210786,417.0,666.5,618.0,3025.5,2189.5,2942.0,-0.5332633053221288,1155.0,-0.16030680728667307,83_0
1,0.34215861657722124,0.709814646004254,442.5,597.5,477.5,2813.5,1379.0,2921.0,-0.3953959018466987,575.5,-0.34215861657722124,84_0
7,0.8630252100840337,-0.11690898227444732,1683.5,1513.5,1402.0,1108.5,81.5,2551.5,0.8978056426332288,65.5,-0.8630252100840337,85_0
7,0.8756185833517985,-0.5181129855589502,20000.0,20000.0,20000.0,6348.5,421.0,2638.5,0.9587679349689046,308.5,-0.8756185833517985,86_0
1,0.12084902430674427,0.4895359417652411,1004.5,1125.0,1122.0,3274.0,2568.0,2830.0,-0.39073923639317626,1743.0,-0.12084902430674427,87_0
4,0.11466165413533834,0.5205128205128206,537.0,627.0,561.0,1779.0,1413.0,2945.0,-0.38529411764705884,708.0,-0.11466165413533834,88_0
1,0.13443479134233918,-0.2901806755695208,10172.5,3624.0,10265.0,5647.5,4309.0,2830.0,-0.08634816588932308,3459.0,-0.13443479134233918,89_0
1,0.2037037037037037,0.6392543859649122,224.0,346.0,329.0,1495.0,989.0,2801.0,-0.48164794007490636,573.0,-0.2037037037037037,90_0
1,0.20499219968798751,0.6319459116839214,413.0,486.5,435.5,1931.0,1274.0,2905.0,-0.44731610337972166,614.0,-0.20499219968798751,91_0
1,0.21726700971983992,0.6545560520691664,431.0,578.5,444.5,2129.0,1369.0,2915.5,-0.40590500641848526,593.0,-0.21726700971983992,92_0
1,0.11885852739265042,0.6970191915067374,366.5,490.5,371.0,2078.0,1636.5,2841.5,-0.538787023977433,887.0,-0.11885852739265042,93_0
1,0.2959864449857037,0.7941650784342472,340.0,490.0,351.0,3059.5,1662.0,2891.0,-0.5446096654275093,678.5,-0.2959864449857037,94_0
7,0.813754139879213,-0.48244232372834245,20000.0,20000.0,20000.0,6982.5,717.0,2522.5,0.9307814838055704,575.5,-0.813754139879213,95_0
4,0.08489695478314364,0.3014760147601476,682.5,877.5,946.5,1763.5,1487.5,2952.0,-0.25792811839323465,1064.0,-0.08489695478314364,96_0
7,0.45514904211909535,-0.4017118321153354,12181.5,12283.5,12323.5,5260.0,1969.5,2690.0,0.7236371290254683,1926.5,-0.45514904211909535,97_0
1,0.2749641662685141,0.7927443735303997,313.5,396.0,308.5,2668.5,1517.5,2915.5,-0.5860987718839822,599.5,-0.2749641662685141,98_0
7,0.6989706739172655,-0.07731251977639489,2402.5,2573.0,2553.5,2187.0,387.5,2699.5,0.7382198952879581,373.0,-0.6989706739172655,99_0
1,0.24234599778679455,0.7749670619235837,152.0,272.0,213.5,1684.0,1027.0,2801.0,-0.5812163202463433,473.0,-0.24234599778679455,100_0
7,0.668488160291439,-0.4637002341920375,20000.0,20000.0,20000.0,7328.0,1456.0,2676.5,0.8642803877703207,1203.0,-0.668488160291439,101_0
1,0.25276037003879437,0.7314910290781604,344.5,390.0,325.5,2099.0,1252.0,2844.5,-0.5249695493300852,598.0,-0.25276037003879437,102_0
2,0.13609758496876692,0.20799121384864808,10168.5,3750.0,3786.0,5774.5,4391.0,2833.0,-0.07873725586537281,3186.0,-0.13609758496876692,103_0
1,0.08312342569269521,0.6884816753926701,281.0,390.0,297.5,1612.5,1365.0,2827.5,-0.5555555555555556,758.5,-0.08312342569269521,104_0
7,0.8246257617892433,-0.4435482415777982,20000.0,20000.0,20000.0,7709.5,741.0,2693.0,0.928547321729907,683.5,-0.8246257617892433,105_0
4,0.009216589861751152,0.38289322617680827,761.0,983.0,1075.0,2409.0,2365.0,2955.0,-0.4127837514934289,1766.0,-0.009216589861751152,106_0
7,0.601673640167364,-0.16637630662020905,1025.5,799.0,669.5,478.5,119.0,2641.5,0.7407407407407407,104.0,-0.601673640167364,107_0
1,0.3142755681818182,0.8062469497315764,224.5,272.0,198.5,1850.5,965.5,2869.0,-0.5604040404040403,394.0,-0.3142755681818182,108_0
1,0.44656172328086163,0.7789098318899643,232.0,178.0,108.5,873.0,334.0,2844.0,-0.3046875,138.5,-0.44656172328086163,109_0
1,0.3062230437461491,0.6084977238239757,410.0,529.0,516.0,2120.0,1126.0,2929.0,-0.3607250755287009,663.0,-0.3062230437461491,110_0
7,-0.15193316495045658,0.04538378637288947,1253.0,1698.0,1993.0,2182.5,2964.5,2786.0,-0.27163538873994636,2654.5,0.15193316495045658,111_0
1,0.41689163131507906,0.5276507276507276,362.5,334.5,284.0,918.5,378.0,2902.5,-0.061052631578947365,153.0,-0.41689163131507906,112_0
4,0.16846450925556,0.46208965172471256,630.0,802.0,807.0,2193.5,1561.0,2929.0,-0.32120186203977996,937.0,-0.16846450925556,113_0
7,0.15557112824106517,-0.006925624811803674,1646.5,1681.5,1672.0,1649.0,1205.0,2649.0,0.16507881517408626,1320.0,-0.15557112824106517,114_0
7,-0.08458149779735682,0.14870093974571585,398.0,381.5,385.0,519.5,615.5,2665.0,-0.23470411233701102,568.0,0.08458149779735682,115_0
1,0.2880324543610548,0.4174107142857143,293.0,324.0,261.0,635.0,351.0,2836.0,-0.04,162.0,-0.2880324543610548,116_0
7,-0.16026058631921825,0.2649656526005888,297.5,306.5,374.5,644.5,890.5,2707.5,-0.4878863826232247,544.5,0.16026058631921825,117_0
1,0.1801150612184688,0.33824021411843425,982.0,984.0,989.0,2000.0,1389.5,2787.0,-0.17084474404887298,872.0,-0.1801150612184688,118_0
4,-0.027186761229314422,0.4579273693534101,627.0,803.0,918.0,2469.0,2607.0,2960.0,-0.5290322580645161,1728.0,0.027186761229314422,119_0
3,-0.05525648165336303,0.38059499050547063,971.5,1318.0,1712.5,3817.0,4263.5,2921.0,-0.5277255218131327,2912.0,0.05525648165336303,120_0
1,0.11845552746495058,-0.25708353688324376,10154.5,10237.5,10293.0,6083.0,4794.5,2841.5,0.36209419904204365,3511.0,-0.11845552746495058,121_0
4,0.18583187827388375,0.6345195117758294,401.0,575.0,531.5,2377.0,1632.0,2896.5,-0.4789306751246035,845.5,-0.18583187827388375,122_0
1,0.37149587750294466,0.7515042117930204,287.5,305.5,206.5,1455.5,667.0,2841.5,-0.37172236503856043,252.5,-0.37149587750294466,123_0
4,0.15768078733418914,0.6527183872938301,376.0,546.5,568.5,2705.5,1968.5,2855.5,-0.5654075546719682,1086.5,-0.15768078733418914,124_0
4,0.08298319327731092,0.39749237546594374,695.0,872.0,889.0,2062.0,1746.0,2945.0,-0.33384262796027503,1222.0,-0.08298319327731092,125_0
7,0.8512999109095327,-0.36769017980636237,12210.5,12272.5,12360.5,5714.5,459.0,2662.5,0.9278953776067235,342.5,-0.8512999109095327,126_0
1,0.1674787535410765,0.3295051293631847,2235.0,2558.0,2598.0,5151.5,3673.5,2847.5,-0.1790098692128701,2716.5,-0.1674787535410765,127_0
1,0.22120434835715158,0.7220117120220462,305.0,484.0,403.5,2499.5,1594.0,2872.0,-0.534167468719923,790.0,-0.22120434835715158,128_0
7,0.626893566791265,-0.4149525106563611,20000.0,20000.0,20000.0,8269.5,1896.5,2762.5,0.8267759687621309,1594.0,-0.626893566791265,129_0
4,0.14353579911774686,0.5336771844660194,547.0,758.0,768.5,2527.5,1893.0,2924.0,-0.42814032440588456,1117.0,-0.14353579911774686,130_0
3,-0.22309260650284365,0.288027041451699,641.5,784.5,1000.5,1810.0,2849.5,2847.0,-0.5682443588332416,1989.5,0.22309260650284365,131_0
5,0.06749846594395582,0.6427447277305635,464.5,590.0,567.5,2609.5,2279.5,2899.5,-0.5887785328454435,1212.5,-0.06749846594395582,132_0
7,-0.004907063197026022,-0.012299517858899931,3539.5,4335.0,5144.0,5019.0,5068.5,2807.0,-0.07800287127133514,5178.0,0.004907063197026022,133_0
7,-0.05054151624548736,0.2523809523809524,241.5,236.5,235.5,394.5,436.5,2737.5,-0.2971768202080238,286.5,0.05054151624548736,134_0
5,-0.22521246458923513,0.27704280155642025,363.0,350.5,464.5,820.5,1297.5,2771.5,-0.5746359223300971,755.0,0.22521246458923513,135_0
4,0.04361210877373012,0.5095739943595072,515.0,752.5,826.0,2542.5,2330.0,2931.5,-0.5117599351175993,1419.5,-0.04361210877373012,136_0
1,0.12628461940428498,0.37750319556881123,1202.5,1337.0,1461.0,3233.0,2508.0,2813.0,-0.3045513654096229,1800.5,-0.12628461940428498,137_0
4,-0.009208103130755065,0.3826384922901199,740.0,1035.5,1081.0,2421.0,2466.0,2952.5,-0.40853919748679135,1741.0,0.009208103130755065,138_0
1,0.3687089715536105,0.6602521566025216,349.0,350.0,256.0,1251.0,577.0,2897.0,-0.24487594390507011,265.0,-0.3687089715536105,139_0
1,0.1921969939238887,0.5931623931623932,468.0,503.0,476.0,1864.0,1263.0,2918.0,-0.43035107587768967,527.0,-0.1921969939238887,140_0
1,0.40913705583756343,0.737171464330413,113.0,183.0,105.0,694.0,291.0,2796.0,-0.22784810126582278,166.0,-0.40913705583756343,141_0
4,0.22756410256410256,0.6375296912114015,335.0,420.0,381.5,1723.5,1084.5,2858.5,-0.44167497507477566,569.0,-0.22756410256410256,142_0
1,0.19627473806752038,-0.33055374592833875,10142.5,3557.5,10212.0,5138.0,3452.0,2813.0,0.015051002211284685,2091.5,-0.19627473806752038,143_0
1,0.0915175698288068,0.28038653178317985,1042.5,1121.5,1191.5,2120.0,1764.5,2798.5,-0.2227997227997228,1209.0,-0.0915175698288068,144_0
1,0.24852817493692178,0.7714797136038186,382.0,505.0,383.0,2969.0,1787.0,2913.0,-0.5593368237347295,683.5,-0.24852817493692178,145_0
7,0.8286093888396812,-0.4155283459551278,20000.0,20000.0,20000.0,8258.0,774.0,2610.0,0.925483777799172,592.5,-0.8286093888396812,146_0
4,-0.027182603133994242,0.568041237113402,556.0,794.0,838.0,3042.0,3212.0,2950.0,-0.6035946080878682,1874.0,0.027182603133994242,147_0
3,-0.1328537170263789,0.18601818011432855,1354.0,1716.5,2171.5,3164.0,4133.5,2841.5,-0.41316239316239317,3191.0,0.1328537170263789,148_0
1,0.2506135805835833,0.750381679389313,315.0,440.0,327.0,2293.0,1374.0,2853.0,-0.5148842337375965,635.0,-0.2506135805835833,149_0
2,2.2888532845044633E-4,0.43844634628044765,329.0,379.5,426.5,1092.5,1092.0,2744.0,-0.4841997961264016,683.0,-2.2888532845044633E-4,150_0
7,-0.07290492296129275,0.036990332072299285,1392.0,1992.5,2291.0,2467.0,2855.0,2785.5,-0.17792676637441981,2588.5,0.07290492296129275,151_0
1,0.286605576135699,0.8583497606308083,262.5,409.0,251.5,3299.5,1829.5,2896.5,-0.6345767254858163,679.5,-0.286605576135699,152_0
7,0.30001427959445953,-0.021706425961745112,1904.5,2089.0,2377.0,2276.0,1225.5,2621.0,0.26052194901191733,1038.0,-0.30001427959445953,153_0
1,0.3212983856969276,0.7398857142857143,250.0,344.0,284.5,1903.0,977.5,2816.0,-0.47937949300037835,425.5,-0.3212983856969276,154_0
4,0.22113453815261044,0.7163520903157523,386.5,469.0,402.0,2432.5,1551.5,2913.0,-0.5357584756248454,653.0,-0.22113453815261044,155_0
4,0.019281663516068054,0.47908380194760664,635.0,855.5,949.5,2696.0,2594.0,2947.5,-0.5039860849398463,1664.5,-0.019281663516068054,156_0
4,0.11437362637362637,0.6178685386088066,484.0,784.5,748.5,3169.0,2518.5,2942.0,-0.5249772933696639,1306.0,-0.11437362637362637,157_0
1,0.344,0.8244343891402715,237.0,325.0,194.0,2016.0,984.0,2846.5,-0.5034377387318564,378.5,-0.344,158_0
3,-0.17261607588617076,0.2468729427254773,947.5,1395.5,2002.0,3314.5,4697.5,2910.5,-0.5419333661578861,3609.0,0.17261607588617076,159_0
4,0.022280471821756225,0.29439097245270496,661.0,905.0,1063.0,1950.0,1865.0,2934.0,-0.34657039711191334,1175.0,-0.022280471821756225,160_0
1,0.19738301175426923,0.5386149900256484,581.0,733.5,809.5,2699.5,1809.5,2807.0,-0.4231222965001966,1196.5,-0.19738301175426923,161_0
4,0.09087441594354916,0.4893894024215597,560.0,892.0,980.5,2860.0,2383.5,2931.5,-0.4553503281941688,1412.5,-0.09087441594354916,162_0
7,0.2181033032359374,-0.038129400823701344,4792.5,5599.0,5860.5,5430.0,3485.5,2734.5,0.23264901755737796,3277.5,-0.2181033032359374,163_0
1,0.2060791968767429,0.6967438211063162,314.5,469.5,386.5,2162.5,1423.5,2877.5,-0.5039619651347068,647.5,-0.2060791968767429,164_0
1,0.3023493360572012,0.7932489451476793,341.0,410.5,367.5,3187.5,1707.5,2844.5,-0.6123701605288008,749.0,-0.3023493360572012,165_0
1,0.20277335758126847,0.19516602665461938,10173.0,3482.5,3563.0,5291.0,3507.0,2844.5,-0.0035052578868302454,2201.5,-0.20277335758126847,166_0
3,-0.25718802489872544,0.25195670274771026,496.5,777.5,1123.0,1879.5,3181.0,2883.5,-0.6071744347606417,2223.5,0.25718802489872544,167_0
5,0.0953090096798213,-0.014075067024128687,784.5,711.0,756.5,735.5,607.5,2795.5,0.07849829351535836,581.5,-0.0953090096798213,168_0
4,0.11443083358231251,0.5659109991603695,439.0,574.0,517.0,1865.0,1482.0,2929.0,-0.44163424124513617,989.0,-0.11443083358231251,169_0
7,0.6469441466029827,-0.05819397993311037,4063.0,4383.5,4746.0,4224.0,905.5,2719.0,0.6575912270750615,820.0,-0.6469441466029827,170_0
1,0.3167481119502443,0.7252619324796274,164.5,170.5,118.0,741.0,384.5,2821.5,-0.3855855855855856,139.5,-0.3167481119502443,171_0
7,0.626770538243626,-0.03800649146686211,2376.5,2376.5,2478.5,2297.0,527.0,2688.0,0.6369898398484588,393.0,-0.626770538243626,172_0
7,0.5014245014245015,-0.02737619194094125,2445.5,2495.0,2505.0,2371.5,787.5,2685.5,0.5201827875095202,840.5,-0.5014245014245015,173_0
7,0.7952016466199266,-0.4827170790473543,20000.0,20000.0,20000.0,6977.5,796.0,2693.0,0.9234468166955184,623.5,-0.7952016466199266,174_0
1,0.22852983988355166,0.5984848484848485,176.5,191.5,159.0,633.0,397.5,2768.0,-0.34974533106960953,225.5,-0.22852983988355166,175_0
2,0.1272808686891302,0.6055484693877551,356.0,559.5,618.5,2517.5,1949.0,2807.0,-0.5539166832768587,1107.0,-0.1272808686891302,176_0
1,0.30426237562952957,0.8017987442728661,235.5,371.0,292.0,2654.5,1416.0,2850.0,-0.5847789591494125,647.0,-0.30426237562952957,177_0
2,0.17389508467575382,0.6427745664739885,220.0,203.5,154.5,710.5,500.0,2815.5,-0.4214641080312722,250.0,-0.17389508467575382,178_0
5,-0.19764205010643524,0.27140633108458745,768.5,1054.5,1404.0,2450.0,3657.0,2918.5,-0.5523718560967844,2812.0,0.19764205010643524,179_0
1,0.1648564778898371,0.3516372229098684,1201.0,1370.5,1440.5,3003.0,2153.0,2801.0,-0.2220803178657585,1772.5,-0.1648564778898371,180_0
1,-0.06049094097019287,0.32358995471387403,682.0,775.5,821.5,1607.5,1814.5,2784.0,-0.40115830115830114,1478.0,0.06049094097019287,181_0
